,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
,PRIO3,"49,8","11,87","411,00%","546,40%","0,00%","1,7","-109,53","9,54","-3,82","1150,00%","896,00%","57,28%","46,03%","90,00%","19,23%","34,61%","397.825.000,00","10.753.900.000,00","95,00%","69,23%"
,RECV3,"22,19","6,52","151,00%","219,90%","4,77%","0,962","-45,81","5,97","-5,43","581,00%","412,00%","36,82%","33,72%","90,00%","19,43%","23,12%","68.770.900,00","4.314.600.000,00","14,00%","52,51%"
,RPMG3,"2,32","-0,17","-0,03","3,00%","0,00%","0,028","-0,04","-0,15","-0,03","-0,16","-16,00%","-19,56%","-17,30%","55,00%","-19,09%","19,09%","21.395,10","-4.764.840.000,00","0,00%","52,91%"
,RPMG4,"0,26","-0,02",0,"0,30%","0,00%","0,003",0,"-0,02",0,"-0,02","-2,00%","-19,56%","-17,30%","55,00%","-19,09%","19,09%","0,00","-4.764.840.000,00","0,00%","52,91%"
,RAIZ4,"3,54","14,5","1,62","16,00%","5,71%","0,328","26,65","4,91","-0,89","10,25","488,00%","3,27%","1,12%","103,00%","8,30%","11,14%","73.790.100,00","22.691.000.000,00","194,00%","45,49%"
,OPCT3,"5,29","-11,84","1,34","75,30%","0,00%","0,45","-7,8","6,7","-1,19","13,12","517,00%","11,24%","4,23%","83,00%","7,52%","-11,32%","3.640.410,00","789.330.000,00","148,00%","48,47%"
,RRRP3,"32,24","16,17","1,47","3,282","0,00%","0,414","46,66","18,3","-0,7","35,58","18,82","17,93%","20,50%","1,08","2,46%","9,11%","159.231.000,00","5.252.820.000,00","1,55","93,72%"
,OSXB3,"6,28","-0,07",0,"0,542","0,00%","0,007","-0,03","-0,65",0,"-186,59","-314,64","-83,94%","-990,60%","0,01","-1,21%","4,87%","63.123,20","-6.022.890.000,00","-0,95","45,42%"
,CSAN3,"15,96","-25,88","1,67","0,714","2,69%","0,221","2,7","4,57","-0,49","11,37","7,68","15,62%","3,17%","1,65","5,66%","-6,45%","106.933.000,00","17.929.300.000,00","3,36","39,76%"
,GVTT3,"57,7","57,38","3,68","4,312","0,00%","2,268","21,82","25,92","-18,43","26,65","26,65","16,64%","7,52%","1,66","10,32%","6,42%",0,"2.150.790.000,00","0,24","31,47%"
